System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
4,076,26,,31,dee8fb24-1986-4dae-803a-d59b6599fdc5,11/6/2024 1:58:41 AM,hannah.m.williams,11/6/2024 1:58:41 AM,hannah.m.williams,122.344618333656,-34.1100400003601
5,079,19,,32,bbc98a92-4669-4f4a-b61b-aeeb7279e04a,11/6/2024 3:47:15 AM,hannah.m.williams,11/6/2024 3:47:15 AM,hannah.m.williams,122.264864999925,-34.1181166664862
2,082,21,,33,7e0ace40-35e3-49f3-9abc-606125b49563,11/6/2024 3:55:05 AM,hannah.m.williams,11/6/2024 3:55:05 AM,hannah.m.williams,122.258796666382,-34.1268216668383
3,085,12,,34,e7a3d7e7-ca48-4eb2-a9bc-2dc3fb657e4d,11/6/2024 5:16:28 AM,hannah.m.williams,11/6/2024 5:16:28 AM,hannah.m.williams,122.256668332895,-34.1389266664212
4,088,28,,35,3cacb780-e76c-405e-8927-7ee7e0e6c947,11/6/2024 5:25:54 AM,hannah.m.williams,11/6/2024 5:25:54 AM,hannah.m.williams,122.250983332941,-34.1492400002771
5,091,18,,36,b7e7dc21-2f15-4286-bf00-96a36cf9799c,11/6/2024 10:42:42 PM,hannah.m.williams,11/6/2024 10:42:42 PM,hannah.m.williams,122.284879999851,-33.994241666954
2,094,25,,37,df2a87f6-1f9b-494a-92fb-fd01e1b85591,11/6/2024 11:02:00 PM,hannah.m.williams,11/6/2024 11:02:00 PM,hannah.m.williams,122.246866666608,-34.009423333603
3,097,18,,38,1e90d76c-1654-4f3b-8251-bf01fefa036a,11/7/2024 12:22:41 AM,hannah.m.williams,11/7/2024 12:22:41 AM,hannah.m.williams,122.223921666754,-33.9950283333023
4,100,26,,39,dfb6a386-a377-4187-b1f4-370366996683,11/7/2024 12:31:04 AM,hannah.m.williams,11/7/2024 12:31:04 AM,hannah.m.williams,122.214416666395,-34.005906666423
5,103,17,,40,5cd9eadc-ec11-49c5-8a56-577eece59185,11/7/2024 2:05:46 AM,hannah.m.williams,11/7/2024 2:05:46 AM,hannah.m.williams,122.153723333611,-34.0353416668889
2,106,8,,41,df00a668-c444-4c85-9011-c5650f6d3ced,11/7/2024 2:25:27 AM,hannah.m.williams,11/7/2024 2:25:27 AM,hannah.m.williams,122.141028333033,-34.0157183333887
