OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
047	0	L_GX012834.MP4	296	GX010103.MP4	186	0.16461		-1.00000	-7.01752	-2.27690	-936.78933	0.59252	0.57776	2.26647	1.45075	936.81839	0.61253								sync		
048	0	L_GX012834.MP4	527	GX010102.MP4	321	0.29307		-1.00000	53.91579	-22.59493	-1077.91585	0.68452	0.66277	3.05652	1.36934	1079.49989	3.07966								sync		
049	0	L_GX012835.MP4	711	GX010103.MP4	565	0.39539		-1.00000	41.70122	-6.94890	-819.26416	0.52534	0.50571	1.80022	5.70481	820.35421	2.94397								sync		
049	4	L_GX012835.MP4	29057	GX010103.MP4	28911	16.15892	A	9.18918	3284.68075	1123.12592	-6016.02674	53.53427	18.69163	99.14098	42.65340	6945.72654	30.00712	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
050	0	L_GX012835.MP4	369	GX010104.MP4	189	0.20520		-1.00000	4.85385	-10.76388	-809.01350	0.51790	0.50151	1.70952	0.98466	809.09966	1.11437								sync		
051	0	L_GX010101.MP4	96872	GX010102.MP4	96729	53.87160	D	5.11177	2139.11588	-459.97645	-3045.36576	16.29624	4.02908	23.79147	2.05815	3749.88636	35.69343	Labridae	Achoerodus	gouldii	37384002	1	M	Passing			
052	0	L_GX012836.MP4	561	GX012836.MP4	820	0.31198		-1.00000	18.95303	-7.47055	-870.42833	0.54985	0.53571	2.27094	2.25348	870.66671	1.28648								sync		
052	4	L_GX012836.MP4	42311	GX012836.MP4	42570	23.52962	B	7.46913	43.07491	13.74486	-633.22525	0.41622	0.39558	1.24199	1.76273	634.83745	4.14137	Labridae	Achoerodus	gouldii	37384002	2	F	Passing			
052	5	L_GX012836.MP4	70548	GX012836.MP4	70807	39.23253	C	8.17150	3130.90689	1685.20610	-5742.18868	53.06761	28.76466	99.11719	0.28190	6753.90468	31.85040	Labridae	Achoerodus	gouldii	37384002	1	F	Passing			
052	6	L_GX012836.MP4	87616	GX012836.MP4	87875	48.72423	D	2.66266	1150.51905	578.65641	-1589.35715	5.12713	2.81678	7.52781	1.23874	2045.62789	39.09725	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
052	7	L_GX012836.MP4	89651	GX012836.MP4	89910	49.85592	D	3.79435	973.33116	693.27378	-1586.03212	4.46870	3.38572	7.64852	1.19253	1985.82476	37.09888	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
053	0	L_GX010103.MP4	1356	GX010103.MP4	1193	0.75409		-1.00000	3.91184	-17.02324	-805.24110	0.51498	0.49999	1.75462	0.73311	805.43052	0.99830								sync		
054	0	L_GX012835.MP4	10433	GX012835.MP4	10296	5.80191		-1.00000	-7.44462	-13.61124	-889.64920	0.56394	0.54987	2.03788	0.01389	889.78446	0.78531								sync		
055	0	L_GX012836.MP4	201	GX012836.MP4	65	0.11178		-1.00000	-10.50935	-13.69824	-742.78597	0.47857	0.46227	1.44378	1.55689	742.98660	1.14018								sync		
055	1	L_GX012836.MP4	4043	GX012836.MP4	3907	2.24836	A	0.26082	-293.04726	1168.82773	-2535.42583	2.41896	7.56728	16.36343	0.87907	2807.20842	25.66714	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing		1	
057	0	L_GX012837.MP4	194	GX012837.MP4	88	0.10789		-1.00000	0.98733	-12.10777	-933.97143	0.58526	0.57410	2.59983	3.09746	934.05043	0.56916								sync		
059	0	L_GX012836.MP4	994	GX010105.MP4	416	0.55277		-1.00000	-6.85722	-7.07626	-849.61647	0.54155	0.52575	1.87899	1.60062	849.67360	0.90242								sync		
060	0	L_GX012836.MP4	293	GX010104.MP4	176	0.16294		-1.00000	55.51441	-24.71434	-1019.35723	0.64994	0.62831	2.74349	0.11766	1021.16689	3.38553								sync		
060	4	L_GX012836.MP4	38234	GX010104.MP4	38117	21.26235	B	4.87487	-1.27571	891.78184	-2014.34151	1.25002	4.80801	10.61877	1.90682	2202.91811	23.94503	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
060	5	L_GX012836.MP4	43958	GX010104.MP4	43841	24.44553	B	8.05805	-1177.00165	534.50991	-1936.01776	5.62095	2.82254	9.42411	1.35845	2327.91720	33.75818	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
061	2	L_GX012837.MP4	4816	GX010105.MP4	4611	2.67823	A	0.67011	2204.68593	-539.68415	-3890.03868	23.29496	6.28849	41.72938	9.41990	4503.80950	30.24747	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
061	3	L_GX012837.MP4	99717	GX010105.MP4	99512	55.45373	D	8.44399	-568.56978	578.26857	-1642.50497	2.55022	2.66120	7.08502	2.07189	1831.79931	26.32384	Labridae	Achoerodus	gouldii	37384002	1	M	Passing			
063	1	L_GX010103.MP4	37390	GX010104.MP4	37260	20.79299	B	2.62929	1778.71416	616.02118	-5879.92588	26.53707	9.84101	87.92453	0.78884	6173.88326	17.75599	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
064	0	L_GX012838.MP4	286	GX012838.MP4	98	0.15905		-1.00000	2.25606	-7.70976	-813.61942	0.51523	0.50186	1.99382	1.36921	813.65908	0.39910								sync		
065	0	L_GX010105.MP4	131	GX010105.MP4	34	0.07285		-1.00000	-16.40904	-17.16247	-950.20754	0.60015	0.58668	2.41094	2.60484	950.50417	1.26118								sync		
066	0	L_GX012837.MP4	504	GX012837.MP4	166	0.28028		-1.00000	-8.58586	-11.98518	-914.59662	0.57861	0.56454	2.14929	3.55083	914.71544	0.73179								sync		
066	1	L_GX012837.MP4	5123	GX012837.MP4	4785	2.84896	A	0.52831	-1339.02267	77.33104	-1587.65145	5.00481	1.02545	6.11287	0.61876	2078.36448	40.20659	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing		1	
066	2	L_GX012837.MP4	52381	GX012837.MP4	52043	29.12966	B	11.80846	608.34929	437.02723	-2095.01551	3.35821	2.59646	11.14071	0.42912	2224.89812	19.82358	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing		2	
067	0	L_GX012838.MP4	260	GX012838.MP4	92	0.14459		-1.00000	22.23984	-3.83618	-1062.05156	0.66657	0.65146	2.86721	2.46360	1062.29132	1.20056								SYNC		
068	0	L_GX013143.MP4	2613	GX010106.MP4	2411	1.45312		-1.00000																	sync		
069	0	L_GX012839.MP4	261	GX013207.MP4	169	0.14514		-1.00000	10.75959	-12.88860	-737.22675	0.47136	0.45726	1.65196	1.12739	737.41791	1.17437								sync		
070	0	L_GX010104.MP4	282	GX010105.MP4	91	0.15682		-1.00000	36.26568	-2.01478	-1009.89891	0.63786	0.61910	2.61358	1.64768	1010.55187	2.05910								sync		
071	0	L_GX013083.MP4	2822	GX010107.MP4	2735	1.56935		-1.00000																	sync		
072	0	L_GX012838.MP4	355	GX010106.MP4	197	0.19742		-1.00000	51.92305	-25.17702	-946.55180	0.60454	0.58477	2.37720	0.05025	948.30912	3.46067								sync		
073	0	L_GX012839.MP4	303	GX010107.MP4	89	0.16850		-1.00000	78.60039	-29.57053	-946.20694	0.61784	0.58638	2.38114	1.28602	949.92632	5.04928								sync		
074	0	L_GX013084.MP4	2473	GX010108.MP4	2318	1.37526		-1.00000	21.68445	-18.98648	-761.08456	0.49134	0.47342	1.51969	2.94510	761.63010	2.37547								sync		
075	0	L_GX010105.MP4	1636	GX010106.MP4	1255	0.90980		-1.00000	45.40097	1.55899	-783.82377	0.50645	0.48482	1.60715	1.70953	785.13908	3.31744								sync		
076	0	L_GX012840.MP4	1674	GX013208.MP4	1545	0.93093		-1.00000	35.06305	-3.70441	-715.42706	0.46251	0.44358	1.56258	3.75898	716.29535	2.80834								sync		
077	0	L_GX013144.MP4	262	GX010107.MP4	127	0.14570		-1.00000	5.95544	-15.82474	-962.50761	0.60615	0.59338	2.46833	1.77746	962.65611	0.77534								sync		
078	0	L_GX012839.MP4	193	GX012839.MP4	75	0.10733		-1.00000																	sync		
