OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
073	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV3\	073.EMObs
074	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV6\	074.EMObs
075	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV2\	075.EMObs
076	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV4\	076.EMObs
077	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV7\	077.EMObs
078	1.09	2025 07 07 14:34:16	E:\2024-Wudjari-Bait-Comp\20241106\BRUV5\	078.EMObs
079	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV5\	079.EMObs
080	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV7\	080.EMObs
081	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV4\	081.EMObs
082	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV2\	082.EMObs
083	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV6\	083.EMObs
084	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV3\	084.EMObs
085	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV3\	085.EMObs
087	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV2\	087.EMObs
088	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV4\	088.EMObs
089	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV7\	089.EMObs
090	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241106\BRUV5\	090.EMObs
091	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV5\	091.EMObs
092	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV7\	092.EMObs
093	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV4\	093.EMObs
094	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV2\	094.EMObs
095	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV6\	095.EMObs
096	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV3\	096.EMObs
097	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV3\	097.EMObs
098	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV6\	098.EMObs
099	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV2\	099.EMObs
100	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV4\	100.EMObs
101	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV7\	101.EMObs
102	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV5\	102.EMObs
103	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV5\	103.EMObs
104	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV7\	104.EMObs
105	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV4\	105.EMObs
106	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV2\	106.EMObs
107	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV6\	107.EMObs
108	1.09	2025 07 07 14:34:16	J:\2024-Wudjari-Bait-Comp\20241107\BRUV3\	108.EMObs
