OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
042	0	0	0.00000	0	L_GX022833.MP4	2563	29.97003
042	1	0	0.00000	0	GX012833.MP4	145920	29.97003
042	1	0	0.00000	0	GX022833.MP4	1954	29.97003
043	0	0	0.00000	0	L_GX012834.MP4	116054	29.97003
043	1	0	0.00000	0	GX012834.MP4	115843	29.97003
044	0	0	0.00000	0	L_GX010102.MP4	121664	29.97003
044	1	0	0.00000	0	GX010102.MP4	121464	29.97003
045	0	0	0.00000	0	L_GX012835.MP4	126064	29.97003
045	1	0	0.00000	0	GX012835.MP4	125833	29.97003
046	0	0	0.00000	0	L_GX010100.MP4	125514	29.97003
046	1	0	0.00000	0	GX010101.MP4	125154	29.97003
047	0	0	0.00000	0	L_GX012834.MP4	131494	29.97003
047	1	0	0.00000	0	GX010103.MP4	131225	29.97003
048	0	0	0.00000	0	L_GX012834.MP4	127404	29.97003
048	1	0	0.00000	0	GX010102.MP4	127124	29.97003
049	0	0	0.00000	0	L_GX012835.MP4	129044	29.97003
049	1	0	0.00000	0	GX010103.MP4	128794	29.97003
050	0	0	0.00000	0	L_GX012835.MP4	123334	29.97003
050	1	0	0.00000	0	GX010104.MP4	123075	29.97003
051	0	0	0.00000	0	L_GX010101.MP4	127534	29.97003
051	1	0	0.00000	0	GX010102.MP4	127264	29.97003
052	0	0	0.00000	0	L_GX012836.MP4	124581	29.97003
052	1	0	0.00000	0	GX012836.MP4	124723	29.97003
053	0	0	0.00000	0	L_GX010103.MP4	129674	29.97003
053	1	0	0.00000	0	GX010103.MP4	129424	29.97003
055	0	0	0.00000	0	L_GX012836.MP4	121503	29.97003
055	1	0	0.00000	0	GX012836.MP4	121263	29.97003
058	0	0	0.00000	0	L_GX010102.MP4	124684	29.97003
058	1	0	0.00000	0	GX010103.MP4	124464	29.97003
059	0	0	0.00000	0	L_GX012836.MP4	145920	29.97003
059	0	0	0.00000	0	L_GX022836.MP4	9894	29.97003
059	1	0	0.00000	0	GX010105.MP4	145920	29.97003
059	1	0	0.00000	0	GX020105.MP4	9155	29.97003
060	0	0	0.00000	0	L_GX012836.MP4	120564	29.97003
060	1	0	0.00000	0	GX010104.MP4	120214	29.97003
061	0	0	0.00000	0	L_GX012837.MP4	114662	29.97003
061	1	0	0.00000	0	GX010105.MP4	114324	29.97003
063	0	0	0.00000	0	L_GX010103.MP4	121303	29.97003
063	1	0	0.00000	0	GX010104.MP4	120954	29.97003
064	0	0	0.00000	0	L_GX012838.MP4	120004	29.97003
064	1	0	0.00000	0	GX012838.MP4	119724	29.97003
065	0	0	0.00000	0	L_GX010105.MP4	111434	29.97003
065	1	0	0.00000	0	GX010105.MP4	111223	29.97003
066	0	0	0.00000	0	L_GX012837.MP4	117334	29.97003
066	1	0	0.00000	0	GX012837.MP4	116914	29.97003
