OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
065	2	L_GX010105.MP4	47371	GX010105.MP4	47274	26.34354	B	10.58613	639.80494	6.72194	5.83388	2213.66749	33.42835	2.34741	30.35054	-1009.91534	683.54988	-1847.47241	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			N
065	3	L_GX010105.MP4	100386	GX010105.MP4	100289	55.82577	D	10.06728	849.08329	7.83351	2.27862	2099.03980	20.90248	27.79897	2.77472	-418.44264	621.08371	-1960.90001	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			N
066	1	L_GX012837.MP4	5041	GX012837.MP4	4703	2.80336	A	0.48270	1030.83012	9.54729	2.55876	2470.82433	14.08125	23.26571	14.51402	376.56239	468.59050	-2396.58019	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
066	2	L_GX012837.MP4	52413	GX012837.MP4	52075	29.14745	B	11.82626	889.65102	10.25417	9.72646	2232.60714	18.61358	37.07832	15.95448	541.74396	462.95786	-2115.82564	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
067	1	L_GX012838.MP4	17019	GX012838.MP4	16851	9.46445	A	8.58858	1009.31570	65.64625	5.31530	5067.39548	14.74340	49.77972	10.63527	1120.25276	638.83721	-4900.55280	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
069	0	L_GX012839.MP4	3868	GX013207.MP4	3776	2.15104	A	0.66622	1056.50469	37.31518	0.96242	4176.74357	17.38210	34.40080	20.30376	-882.86901	881.74585	-3986.00720	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			N
069	1	L_GX012839.MP4	100101	GX013207.MP4	100009	55.66728	D	9.18084	667.84579	27.23350	13.57153	5537.48271	4.92996	11.34270	9.37611	473.94574	42.85685	-5516.99678	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
070	1	L_GX010104.MP4	101219	GX010105.MP4	101028	56.28901	D	9.69024	470.30567	14.60477	1.23419	2693.13827	22.46891	35.27965	16.53288	991.19696	277.35026	-2488.69426	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
070	2	L_GX010104.MP4	109718	GX010105.MP4	109527	61.01540	D	14.41662	1114.30645	18.02260	5.64635	3984.14632	20.55432	15.92663	17.88990	-822.38239	1131.53426	-3730.51462	Labridae	Achoerodus	gouldii	37384002	1	1100-1299mm	Passing			Y
072	1	L_GX012838.MP4	7087	GX010106.MP4	6929	3.94116	A	0.68346	1108.10021	9.85917	0.93294	3107.00236	22.88241	0.77800	21.23602	-765.10152	934.98594	-2862.49622	Labridae	Achoerodus	gouldii	37384002	1	1100-1299mm	Passing	1106 mm		
072	2	L_GX012838.MP4	71105	GX010106.MP4	70947	39.54228	C	6.28350	554.31542	3.52061	2.12086	2138.20214	20.46494	0.47003	5.83801	-323.18354	674.12248	-2003.25228	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing		F	Y
073	1	L_GX012839.MP4	6894	GX010107.MP4	6680	3.83383	A	0.98543	870.78270	21.35684	2.83929	3912.38171	21.10020	14.14964	15.97759	-1365.64570	344.62327	-3650.06538	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
073	2	L_GX012839.MP4	7010	GX010107.MP4	6796	3.89834	A	1.04994	940.98663	19.73556	0.27842	4131.51633	20.01402	8.23781	2.08307	1125.06557	856.53765	-3882.00952	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
073	3	L_GX012839.MP4	7121	GX010107.MP4	6907	3.96007	A	1.11167	683.48751	12.05906	0.74903	2729.68629	29.08777	8.78232	5.93397	1228.47607	501.86238	-2385.40729	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
073	4	L_GX012839.MP4	7254	GX010107.MP4	7040	4.03403	A	1.18563	646.87707	14.68967	2.00743	3729.00494	14.32779	10.81270	2.26792	807.07852	447.44649	-3613.01726	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
074	1	L_GX013084.MP4	109081	GX010108.MP4	108926	60.66116	D	12.89900	417.83492	30.97048	11.38912	4563.06510	31.69360	9.15931	5.25571	2287.99341	715.72816	-3882.57421	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
075	1	L_GX010105.MP4	9788	GX010106.MP4	9407	5.44322	A	3.78322	715.30598	13.60516	0.85358	2847.75805	30.16011	11.78360	4.46380	1416.72354	199.95805	-2462.24229	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
076	1	L_GX012840.MP4	38909	GX013208.MP4	38780	21.63773	B	4.66577	440.04663	7.82515	6.09026	2346.81472	32.72488	57.04003	63.36392	1189.58355	-441.01456	-1974.31924	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
076	2	L_GX012840.MP4	73919	GX013208.MP4	73790	41.10718	C	9.13468	774.09964	29.11102	3.65739	3454.91718	29.26470	51.17274	30.93981	1359.79273	1001.70477	-3013.96815	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
076	3	L_GX012840.MP4	78548	GX013208.MP4	78419	43.68142	C	11.70892	965.56879	92.29891	5.00415	5801.99104	33.71930	86.17777	24.99853	2968.25064	1250.28906	-4825.90566	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing		M	Y
077	1	L_GX013144.MP4	42565	GX010107.MP4	42430	23.67087	B	6.90134	868.24851	5.82784	6.21836	2534.83144	19.81801	4.95767	14.11845	448.37021	733.15795	-2384.70417	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
077	2	L_GX013144.MP4	43346	GX010107.MP4	43211	24.10519	B	7.33566	678.02877	8.42444	7.02872	3008.99964	20.78810	4.84272	12.38686	693.42400	812.18406	-2813.11199	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
077	3	L_GX013144.MP4	71288	GX010107.MP4	71153	39.64405	C	7.87398	1065.44473	19.46414	2.90556	3464.65267	30.41309	31.95605	27.10572	1258.68194	1221.44707	-2987.90980	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	1062 mm		
079	1	L_GX012840.MP4	5948	GX012840.MP4	5812	3.30775	A	1.43421	629.30906	42.56865	3.21284	4505.50728	24.68151	43.93728	4.77854	-655.09249	1763.64783	-4093.89741	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing	641		Y
080	1	L_GX013145.MP4	86777	GX010108.MP4	86647	48.25765	D	0.67178	937.92112	4.46012	3.20421	1986.40653	21.89592	5.91900	40.61125	504.75566	542.18825	-1843.11273	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	bad length		Y
080	2	L_GX013145.MP4	87532	GX010108.MP4	87402	48.67752	D	1.09165	436.73547	23.16693	4.31324	3589.84952	12.04738	28.09504	1.51078	-691.17944	289.28198	-3510.78431	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
081	1	L_GX012841.MP4	45223	GX013209.MP4	45099	25.14901	B	8.21042	984.06363	10.23921	1.42834	2801.87182	15.96926	9.55266	6.54489	647.07915	418.93516	-2693.74602	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
085	1	L_GX012841.MP4	12420	GX010109.MP4	12230	6.90690	A	5.51217	919.41702	12.61853	6.82572	2187.22040	10.90180	44.04200	11.23688	412.35836	32.80216	-2147.74711	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
085	2	L_GX012841.MP4	55659	GX010109.MP4	55469	30.95259	B	14.55732	626.48174	9.54534	2.98415	2363.68023	36.46672	81.73457	49.98428	1381.72280	-253.95548	-1900.87689	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
087	1	L_GX010107.MP4	10673	GX010108.MP4	10782	5.93537	A	4.61294	783.46256	10.26381	1.36661	2130.57667	24.36243	41.33439	2.39965	742.89088	469.61709	-1940.85802	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
087	2	L_GX010107.MP4	56852	GX010108.MP4	56961	31.61603	C	0.29251	418.64167	12.38719	4.38428	2353.31102	30.68795	49.21171	7.90479	-1124.93607	420.73478	-2023.75241	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
087	3	L_GX010107.MP4	77711	GX010108.MP4	77820	43.21595	C	11.89244	946.87197	94.30334	6.53577	6134.72675	32.90087	89.55730	11.47055	-3054.11340	1332.90974	-5150.78783	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
087	4	L_GX010107.MP4	103774	GX010108.MP4	103883	57.70987	D	11.38582	530.56829	10.02935	4.32616	2229.43114	16.02299	46.19142	37.71607	-320.59990	525.26310	-2142.82000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing	519 mm		
088	1	L_GX012842.MP4	6370	GX013210.MP4	6549	3.54243	A	0.16294	787.05422	6.63490	0.54742	2361.81144	11.70065	13.97056	11.51431	141.53555	457.58201	-2312.73425	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing	0788mm	M	Y
091	1	L_GX012842.MP4	20182	GX012842.MP4	20066	11.22343	A	9.28038	379.87944	16.63484	3.57076	3544.05475	31.48292	15.55365	32.63582	1672.22888	793.31130	-3022.35535	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	378mm	F	Y
091	2	L_GX012842.MP4	30243	GX012842.MP4	30127	16.81847	A	14.87542	400.73696	12.58842	0.79269	3670.59229	8.39455	13.38313	0.81428	-441.28378	304.00790	-3631.26638	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	450 mm		Y
092	1	L_GX013147.MP4	92677	GX010110.MP4	92551	51.53871	D	1.88744	724.02452	17.66057	3.57772	2631.55085	26.28354	57.32947	17.25570	522.11129	1041.77368	-2359.48453	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing	0700 mm	M	Y
093	1	L_GX012843.MP4	92228	GX013211.MP4	92102	51.28902	D	4.04738	658.90430	15.76829	5.03655	2268.85907	31.14135	66.94418	3.39440	-1037.67552	547.68949	-1941.90299	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
094	1	L_GX012839.MP4	95518	GX010109.MP4	95374	53.11862	C	13.14869	522.65087	12.22121	4.17987	3315.99723	27.66176	3.42704	54.61901	1033.58255	1140.88926	-2936.99105	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
