"","species","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth_m","macroalgae","ecklonia","mean_relief","time_hr","bait","cumsum.wi"
"depth_m+ecklonia","gouldii","s(depth_m, k = 5, bs = ""cr"") + s(ecklonia, k = 5, bs = ""cr"") + s(location, site, bs = ""re"")",293.603899601833,332.286810789526,0.24557,NA,13.91,0,0,0,0.361,0.463,1,0,1,0,0,0,0.361
"depth_m+ecklonia+time_hr","gouldii","s(depth_m, k = 5, bs = ""cr"") + s(ecklonia, k = 5, bs = ""cr"") + s(time_hr, k = 5, bs = ""cc"") + s(location, site, bs = ""re"")",293.607962875799,332.293001257529,0.24557,NA,14.91,1,0.004,0.006,0.36,0.462,1,0,1,0,1,0,0.721
"bait+depth_m+ecklonia","gouldii","s(depth_m, k = 5, bs = ""cr"") + s(ecklonia, k = 5, bs = ""cr"") + bait + s(location, site, bs = ""re"")",294.113909576298,335.958099483344,0.25572,NA,15.56,0,0.51,3.671,0.279,0.074,1,0,1,0,0,1,1
"bait+ecklonia","gouldii","s(ecklonia, k = 5, bs = ""cr"") + bait + s(location, site, bs = ""re"")",311.934234214684,348.804557291994,0.17566,NA,12.89,0,18.33,16.518,0,0,0,0,1,0,0,1,1
"ecklonia","gouldii","s(ecklonia, k = 5, bs = ""cr"") + s(location, site, bs = ""re"")",312.959355870214,346.547521569152,0.16157,NA,11.26,0,19.355,14.261,0,0,0,0,1,0,0,0,1
