count,sample,longitude_dd,latitude_dd,location,source
0.25,WA102,120.895689,-34.059844,investigator island,jordan
0.75,WA103,122.230036,-34.110183,mondrain island,jordan
0.25,WA104,122.235866,-34.119831,mondrain island,jordan
3.75,WA105,122.537397,-34.003955,cornwall island,jordan
3,WA107,124.125982,-33.851323,daw island,jordan
0.5,WA108,124.134915,-33.85225,daw island,jordan
