sample_url,family,genus,species,count,sample,longitude_dd,latitude_dd,date_time,depth_m,status,site,location,annotation_parameters,successful_count,successful_length,successful_habitat_downward,successful_habitat_forward,successful_habitat_backward,successful_habitat_panoramic,map_marker_colour_rgb,campaignid,observer_count,observer_length,observer_habitat_downward,observer_habitat_forward,observer_habitat_backward,observer_habitat_panoramic,synthesis,derived_from_sample
https://dev.globalarchive.org/api/data/SynthesisSample/690950/?format=feather,Labridae,Achoerodus,gouldii,1,12510,122.01204,-33.98465,2002-12-31T16:00:00Z,23,Fished,NA,Esperance,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690952/?format=feather,Labridae,Achoerodus,gouldii,1,12512,122.02382,-33.96449,2002-12-31T16:00:00Z,18,Fished,NA,Esperance,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690953/?format=feather,Labridae,Achoerodus,gouldii,1,12513,122.02441,-33.97686,2002-12-31T16:00:00Z,21,Fished,NA,Esperance,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690958/?format=feather,Labridae,Achoerodus,gouldii,1,12519,123.22997,-34.03639,2002-12-31T16:00:00Z,21,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690959/?format=feather,Labridae,Achoerodus,gouldii,1,12520,123.23099,-34.0393,2002-12-31T16:00:00Z,13,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690961/?format=feather,Labridae,Achoerodus,gouldii,1,12522,123.16434,-34.02492,2002-12-31T16:00:00Z,14,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690962/?format=feather,Labridae,Achoerodus,gouldii,1,12523,123.16858,-34.01738,2002-12-31T16:00:00Z,8,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690963/?format=feather,Labridae,Achoerodus,gouldii,2,12524,123.17252,-34.01791,2002-12-31T16:00:00Z,10,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690964/?format=feather,Labridae,Achoerodus,gouldii,1,12525,123.1759,-34.01406,2002-12-31T16:00:00Z,13,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690966/?format=feather,Labridae,Achoerodus,gouldii,1,12527,123.16898,-34.02004,2002-12-31T16:00:00Z,18,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
