count,sample,longitude_dd,latitude_dd,location,source
2,site1,122.1053861,-33.99032222,cape le grande,eden
2,site2,122.1090056,-34.01234444,cape le grande,eden
5,site3,122.1254722,-34.01369722,cape le grande,eden
8,site4,122.1445333,-34.01602222,cape le grande,eden
5,site5,122.1334611,-34.03081111,cape le grande,eden
5,site6,122.1915667,-34.01106944,cape le grande,eden
