TimeOrder,Timeslice,Scenario,PA_Dataset,Replicate,Area_CTA,Area_GLM,Area_MAXENT,Area_RF
9,MidHolo,Historical,PA1,2,49883.925,44089.06,56615.624,63167.671
9,MidHolo,Historical,PA1,3,49251.488,79741.137,81255.844,52138.008
9,MidHolo,Historical,PA2,1,51845.108,72818.079,62063.037,55663.088
9,MidHolo,Historical,PA2,2,88294.669,55761.446,65729.947,51760.011
9,MidHolo,Historical,PA2,3,36777.875,58851.487,62220.664,62597.721
9,MidHolo,Historical,PA3,1,82380.816,123794.251,72467.09,65359.536
9,MidHolo,Historical,PA3,2,63778.199,101870.057,43519.801,62866.524
9,MidHolo,Historical,PA3,3,100927.265,136738.889,42118.332,62364.285
10,LateHolo,Historical,PA1,1,67724.518,51365.238,78932.412,53232.896
10,LateHolo,Historical,PA1,2,55615.185,41638.107,61734.736,63115.677
10,LateHolo,Historical,PA1,3,55075.323,86643.435,76063.407,52883.347
10,LateHolo,Historical,PA2,1,58408.206,85131.995,65872.601,57230.227
10,LateHolo,Historical,PA2,2,89733.275,58727.047,64185.169,52163.591
10,LateHolo,Historical,PA2,3,43226.034,48454.916,64669.986,59745
10,LateHolo,Historical,PA3,1,76147.15,121869.675,69814.571,60107.473
10,LateHolo,Historical,PA3,2,55858.291,89117.013,48756.439,59384.559
10,LateHolo,Historical,PA3,3,84412.957,138960.82,46406.359,60081.438
11,Current,Historical,PA1,1,45340.274,51328.164,51455.047,49503.898
11,Current,Historical,PA1,2,47862.703,61203.014,67108.178,46911.199
11,Current,Historical,PA1,3,50654.289,72846.175,61699.034,54852.033
11,Current,Historical,PA2,1,39487.062,53583.574,43920.262,45581.199
11,Current,Historical,PA2,2,45986.286,46496.8,48555.39,51375.116
11,Current,Historical,PA2,3,55033.452,59855.495,57868.053,46391.843
11,Current,Historical,PA3,1,58621.666,63463.789,47307.047,48710.35
11,Current,Historical,PA3,2,45340.274,54179.256,52719.896,49940.116
11,Current,Historical,PA3,3,69699.737,57482.221,52283.423,51606.604
12,2040,SSP585,PA1,1,46831.5,39442.44,53657.392,41699.741
12,2040,SSP585,PA1,2,42529.969,45110.405,44687.157,46144.838
12,2040,SSP585,PA1,3,42007.722,39885.528,49751.499,40266.628
12,2040,SSP585,PA2,1,44580.038,48476.754,54961.183,44702.516
12,2040,SSP585,PA2,2,42597.091,58188.633,42167.244,37735.59
12,2040,SSP585,PA2,3,40459.126,38782.29,57908.13,41740.027
12,2040,SSP585,PA3,1,44797.971,17247.088,48571.83,41472.658
12,2040,SSP585,PA3,2,36497.266,28302.418,38242.328,42751.389
12,2040,SSP585,PA3,3,49286.822,27565.735,39157.855,41521.364
13,2060,SSP585,PA1,1,42010.917,25349.876,50436.803,37433.773
13,2060,SSP585,PA1,2,37252.298,37211.974,39319.8,42760.733
13,2060,SSP585,PA1,3,36513.917,25291.336,46960.37,34507.988
13,2060,SSP585,PA2,1,39779.495,40131.957,51897.789,39988.626
13,2060,SSP585,PA2,2,37126.254,50322.277,36910.769,32714.478
13,2060,SSP585,PA2,3,34737.359,26334.533,54885.212,36373.932
13,2060,SSP585,PA3,1,40068.062,4725.881,45064.815,36687.726
13,2060,SSP585,PA3,2,32989.453,18378.023,33738.042,37939.145
13,2060,SSP585,PA3,3,46667.361,20219.101,33597.991,36821.828
14,2080,SSP585,PA1,1,36395.451,4562.537,46314.837,31673.582
14,2080,SSP585,PA1,2,32253.287,37526.478,33717.765,40112.92
14,2080,SSP585,PA1,3,31770.416,1399.816,42898.559,28621.726
14,2080,SSP585,PA2,1,34667.811,27956.621,48382.087,34770.126
14,2080,SSP585,PA2,2,32128.25,25225.651,31859.083,27243.833
14,2080,SSP585,PA2,3,29962.79,5899.183,51897.078,31230.659
14,2080,SSP585,PA3,1,34846.564,12875.641,42842.887,31406.331
14,2080,SSP585,PA3,2,28738.74,424.579,30495.676,32867.401
14,2080,SSP585,PA3,3,43936.429,25743.974,28705.14,33123.31
15,2100,SSP585,PA1,1,28486.071,247.205,41678.454,23161.146
15,2100,SSP585,PA1,2,23500.19,37626.19,25668.805,36073.3
15,2100,SSP585,PA1,3,22785.596,0,37747.979,17445.076
15,2100,SSP585,PA2,1,26681.425,21374.646,43856.984,27036.989
15,2100,SSP585,PA2,2,23410.861,708.65,23086.543,16313.156
15,2100,SSP585,PA2,3,20248.034,0,47481.823,22143.161
15,2100,SSP585,PA3,1,26932.134,27525.283,39094.792,24049.995
15,2100,SSP585,PA3,2,22423.773,0,26002.921,24438.903
15,2100,SSP585,PA3,3,36713.379,60346.574,18395.121,26849.137
